Block Size	Time Taken
100	0.000000
200	0.000000
300	0.000000
400	0.000000
500	0.000000
600	0.000000
700	0.001000
800	0.001000
900	0.000000
1000	0.001000
1100	0.001000
1200	0.002000
1300	0.001000
1400	0.002000
1500	0.002000
1600	0.002000
1700	0.002000
1800	0.003000
1900	0.003000
2000	0.004000
2100	0.003000
2200	0.004000
2300	0.004000
2400	0.005000
2500	0.005000
2600	0.006000
2700	0.007000
2800	0.006000
2900	0.008000
3000	0.007000
3100	0.008000
3200	0.009000
3300	0.009000
3400	0.009000
3500	0.011000
3600	0.012000
3700	0.012000
3800	0.012000
3900	0.013000
4000	0.014000
4100	0.015000
4200	0.015000
4300	0.016000
4400	0.017000
4500	0.018000
4600	0.018000
4700	0.019000
4800	0.022000
4900	0.021000
5000	0.021000
5100	0.022000
5200	0.024000
5300	0.024000
5400	0.025000
5500	0.026000
5600	0.027000
5700	0.028000
5800	0.029000
5900	0.030000
6000	0.031000
6100	0.032000
6200	0.033000
6300	0.034000
6400	0.035000
6500	0.036000
6600	0.037000
6700	0.038000
6800	0.040000
6900	0.042000
7000	0.043000
7100	0.044000
7200	0.044000
7300	0.045000
7400	0.047000
7500	0.052000
7600	0.050000
7700	0.053000
7800	0.052000
7900	0.053000
8000	0.055000
8100	0.056000
8200	0.058000
8300	0.059000
8400	0.060000
8500	0.061000
8600	0.063000
8700	0.064000
8800	0.066000
8900	0.068000
9000	0.070000
9100	0.070000
9200	0.072000
9300	0.073000
9400	0.078000
9500	0.080000
9600	0.079000
9700	0.080000
9800	0.083000
9900	0.084000
10000	0.085000
10100	0.086000
10200	0.088000
10300	0.092000
10400	0.092000
10500	0.094000
10600	0.097000
10700	0.097000
10800	0.099000
10900	0.102000
11000	0.104000
11100	0.106000
11200	0.106000
11300	0.108000
11400	0.110000
11500	0.113000
11600	0.116000
11700	0.117000
11800	0.118000
11900	0.120000
12000	0.122000
12100	0.124000
12200	0.126000
12300	0.128000
12400	0.134000
12500	0.135000
12600	0.137000
12700	0.139000
12800	0.140000
12900	0.142000
13000	0.144000
13100	0.146000
13200	0.150000
13300	0.151000
13400	0.153000
13500	0.156000
13600	0.157000
13700	0.160000
13800	0.165000
13900	0.164000
14000	0.169000
14100	0.170000
14200	0.173000
14300	0.176000
14400	0.179000
14500	0.178000
14600	0.181000
14700	0.185000
14800	0.187000
14900	0.191000
15000	0.191000
