Block Size	Time Taken
100	0.000007
200	0.000024
300	0.000016
400	0.000020
500	0.000026
600	0.000031
700	0.000037
800	0.000042
900	0.000082
1000	0.000055
1100	0.000058
1200	0.000064
1300	0.000098
1400	0.000077
1500	0.000099
1600	0.000084
1700	0.000090
1800	0.000095
1900	0.000100
2000	0.000105
2100	0.000113
2200	0.000135
2300	0.000121
2400	0.000127
2500	0.000134
2600	0.000141
2700	0.000180
2800	0.000150
2900	0.000156
3000	0.000196
3100	0.000169
3200	0.000173
3300	0.000179
3400	0.000184
3500	0.000190
3600	0.000216
3700	0.000201
3800	0.000205
3900	0.000211
4000	0.000218
4100	0.000223
4200	0.000230
4300	0.000235
4400	0.000276
4500	0.000247
4600	0.000252
4700	0.000259
4800	0.000264
4900	0.000288
5000	0.000290
5100	0.000283
5200	0.000290
5300	0.000316
5400	0.000311
5500	0.000317
5600	0.000322
5700	0.000326
5800	0.000333
5900	0.000343
6000	0.000380
6100	0.000356
6200	0.000390
6300	0.000383
6400	0.000369
6500	0.000379
6600	0.000381
6700	0.000389
6800	0.000393
6900	0.000439
7000	0.000410
7100	0.000412
7200	0.000431
7300	0.000423
7400	0.000428
7500	0.000434
7600	0.000440
7700	0.000478
7800	0.000451
7900	0.000457
8000	0.000463
8100	0.000468
8200	0.000474
8300	0.000481
8400	0.000525
8500	0.000495
8600	0.000501
8700	0.000505
8800	0.000512
8900	0.000522
9000	0.000529
9100	0.000530
9200	0.000545
9300	0.000549
9400	0.000563
9500	0.000542
9600	0.000548
9700	0.000583
9800	0.000558
9900	0.000566
10000	0.000604
10100	0.000580
10200	0.000663
10300	0.000590
10400	0.000598
10500	0.000634
10600	0.000613
10700	0.000649
10800	0.000676
10900	0.000646
11000	0.000636
11100	0.000669
11200	0.000643
11300	0.000699
11400	0.000685
11500	0.000665
11600	0.000726
11700	0.000681
11800	0.000768
11900	0.000696
12000	0.000726
12100	0.000703
12200	0.000707
12300	0.000761
12400	0.000748
12500	0.000726
12600	0.000733
12700	0.000829
12800	0.000774
12900	0.000751
13000	0.000758
13100	0.000777
13200	0.000780
13300	0.000801
13400	0.000808
13500	0.000788
13600	0.000844
13700	0.000797
13800	0.000807
13900	0.000844
14000	0.000880
14100	0.000823
14200	0.000854
14300	0.000832
14400	0.000870
14500	0.000844
14600	0.000879
14700	0.000890
14800	0.000896
14900	0.000899
15000	0.000876
15100	0.000911
15200	0.000947
15300	0.000916
15400	0.000925
15500	0.000932
15600	0.000938
15700	0.000944
15800	0.000922
15900	0.000964
16000	0.000999
16100	0.000938
16200	0.000970
16300	0.000948
16400	0.000984
16500	0.000991
16600	0.001002
16700	0.001007
16800	0.001014
16900	0.001022
17000	0.000997
17100	0.001031
17200	0.001010
17300	0.001052
17400	0.001100
17500	0.001090
17600	0.001082
17700	0.001072
17800	0.001079
17900	0.001095
18000	0.001079
18100	0.001096
18200	0.001105
18300	0.001079
18400	0.001109
18500	0.001147
18600	0.001094
18700	0.001102
18800	0.001172
18900	0.001148
19000	0.001151
19100	0.001159
