Block Size	Time Taken
100	0.000009
200	0.000049
300	0.000062
400	0.000093
500	0.000132
600	0.000199
700	0.000216
800	0.000256
900	0.000314
1000	0.000378
1100	0.000451
1200	0.000526
1300	0.000659
1400	0.000711
1500	0.000807
1600	0.000907
1700	0.001015
1800	0.001154
1900	0.001238
2000	0.001367
2100	0.001532
2200	0.001643
2300	0.001941
2400	0.001973
2500	0.002152
2600	0.002292
2700	0.002464
2800	0.002662
2900	0.002817
3000	0.003047
3100	0.003313
3200	0.003636
3300	0.003800
3400	0.004044
3500	0.004228
3600	0.004457
3700	0.004790
3800	0.005082
3900	0.005184
4000	0.005407
4100	0.005720
4200	0.005948
4300	0.006227
4400	0.006612
4500	0.007118
4600	0.007466
4700	0.007913
4800	0.007847
4900	0.008164
5000	0.008394
5100	0.008724
5200	0.009028
5300	0.009426
5400	0.009662
5500	0.010098
5600	0.010494
5700	0.010870
5800	0.011170
5900	0.011520
6000	0.011984
6100	0.012506
6200	0.012947
6300	0.013496
6400	0.013648
6500	0.014090
6600	0.014445
6700	0.014866
6800	0.015359
6900	0.015750
7000	0.016234
7100	0.016741
7200	0.017236
7300	0.017933
7400	0.018259
7500	0.018733
7600	0.019350
7700	0.019818
7800	0.020342
7900	0.020927
8000	0.021425
8100	0.021967
8200	0.022394
8300	0.023061
8400	0.023847
8500	0.024267
8600	0.024739
8700	0.025338
8800	0.025905
8900	0.026501
9000	0.027128
9100	0.027883
9200	0.028625
9300	0.030436
9400	0.029786
9500	0.030632
9600	0.031079
9700	0.032017
9800	0.032691
9900	0.033210
10000	0.034375
10100	0.034908
10200	0.035054
10300	0.036171
10400	0.036769
10500	0.037186
10600	0.038181
10700	0.038617
10800	0.039177
10900	0.040329
11000	0.040787
11100	0.041479
11200	0.042219
11300	0.043194
11400	0.043674
11500	0.044262
11600	0.045116
11700	0.045900
11800	0.046969
11900	0.047377
12000	0.048521
12100	0.049431
12200	0.049935
12300	0.051789
12400	0.051569
12500	0.052213
12600	0.053593
12700	0.053824
12800	0.054526
12900	0.055336
13000	0.056423
13100	0.057124
13200	0.057885
13300	0.058926
13400	0.059671
13500	0.060568
13600	0.062001
